[WIN] 2025-12-18 16:33:35 | CPU: 0.59% | Temp:  | GPU: 0.00% | Mem: 65.80% | Disk: 95.65%
[WIN] 2025-12-18 16:33:39 | CPU: 2.34% | Temp:  | GPU: 0.00% | Mem: 66.08% | Disk: 95.65%
[WIN] 2025-12-18 16:33:44 | CPU: 0.00% | Temp:  | GPU: 0.00% | Mem: 65.86% | Disk: 95.65%
[WIN] 2025-12-18 16:33:48 | CPU: 4.76% | Temp:  | GPU: 0.00% | Mem: 65.90% | Disk: 95.65%
[WIN] 2025-12-18 16:33:53 | CPU: 0.00% | Temp:  | GPU: 0.00% | Mem: 65.83% | Disk: 95.65%
[WIN] 2025-12-18 16:33:57 | CPU: 1.76% | Temp:  | GPU: 0.00% | Mem: 65.87% | Disk: 95.65%
[WIN] 2025-12-18 16:34:02 | CPU: 1.18% | Temp:  | GPU: 0.00% | Mem: 65.77% | Disk: 95.65%
[WIN] 2025-12-18 16:34:06 | CPU: 1.76% | Temp:  | GPU: 0.00% | Mem: 65.88% | Disk: 95.65%
[WIN] 2025-12-18 16:34:11 | CPU: 0.59% | Temp:  | GPU: 0.00% | Mem: 65.85% | Disk: 95.65%
[WIN] 2025-12-18 16:34:15 | CPU: 0.60% | Temp:  | GPU: 0.00% | Mem: 65.86% | Disk: 95.65%
[WIN] 2025-12-18 16:34:20 | CPU: 2.98% | Temp:  | GPU: 0.00% | Mem: 66.14% | Disk: 95.65%
[WIN] 2025-12-18 16:34:24 | CPU: 1.74% | Temp:  | GPU: 0.00% | Mem: 65.91% | Disk: 95.65%
[WIN] 2025-12-18 16:34:29 | CPU: 2.34% | Temp:  | GPU: 0.00% | Mem: 66.17% | Disk: 95.65%
[WIN] 2025-12-18 16:34:33 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 65.91% | Disk: 95.65%
[WIN] 2025-12-18 16:34:38 | CPU: 4.71% | Temp: N/A | GPU: 0.00% | Mem: 65.88% | Disk: 95.65%
[WIN] 2025-12-18 16:34:42 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 66.40% | Disk: 95.65%
[WIN] 2025-12-18 16:34:47 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 66.23% | Disk: 95.65%
[WIN] 2025-12-18 16:34:51 | CPU: 1.18% | Temp: N/A | GPU: 0.00% | Mem: 66.22% | Disk: 95.65%
[WIN] 2025-12-18 16:34:55 | CPU: 2.35% | Temp: N/A | GPU: 0.00% | Mem: 66.21% | Disk: 95.65%
[WIN] 2025-12-18 16:35:00 | CPU: 2.96% | Temp: N/A | GPU: 0.00% | Mem: 66.50% | Disk: 95.65%
[WIN] 2025-12-18 16:35:04 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 66.73% | Disk: 95.65%
[WIN] 2025-12-18 16:35:09 | CPU: 0.58% | Temp: N/A | GPU: 0.00% | Mem: 66.80% | Disk: 95.65%
[WIN] 2025-12-18 16:35:13 | CPU: 2.31% | Temp: N/A | GPU: 0.00% | Mem: 66.06% | Disk: 95.65%
[WIN] 2025-12-18 16:35:18 | CPU: 0.60% | Temp: N/A | GPU: 0.00% | Mem: 66.00% | Disk: 95.65%
[WIN] 2025-12-18 16:35:22 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 65.71% | Disk: 95.65%
[WIN] 2025-12-18 16:35:27 | CPU: 1.76% | Temp: N/A | GPU: 0.00% | Mem: 65.66% | Disk: 95.65%
[WIN] 2025-12-18 16:35:31 | CPU: 1.19% | Temp: N/A | GPU: 0.00% | Mem: 65.66% | Disk: 95.65%
[WIN] 2025-12-18 16:35:36 | CPU: 0.59% | Temp: N/A | GPU: 0.00% | Mem: 64.81% | Disk: 95.65%
[WIN] 2025-12-18 16:35:40 | CPU: 2.98% | Temp: N/A | GPU: 0.00% | Mem: 65.12% | Disk: 95.65%
